W,L,run_id,improved,total_time_s,goodput_Bps,retransmissions,avg_rtt_s,utilization,buffer_events
64,512,0,1,86.605662,1225151.983,2656,0.052119,0.973044,0
64,512,1,1,86.478359,1203883.498,2637,0.050335,0.963965,0
64,512,2,1,86.114281,1202794.414,2637,0.05233,0.965354,0
64,512,3,1,86.951665,1205969.238,2607,0.051099,0.969746,0
64,512,4,1,86.754901,1216680.447,2719,0.049187,0.980582,0
64,512,5,1,86.859927,1203649.286,2739,0.049799,0.971392,0
64,512,6,1,86.217789,1202545.385,2600,0.051721,0.970117,0
64,512,7,1,87.256575,1224939.169,2563,0.052234,0.9672,0
64,512,8,1,87.103623,1218489.951,2660,0.051733,0.973307,0
64,512,9,1,85.793159,1205718.241,2630,0.050035,0.974358,0
